t_ms,dt_us,pitch,pitch_err,vel_offset,theta_dot,vel_L,vel_R,v_fwd,i_unsat,i_sat,z_theta,vel_int
72539.0,10000.0,48.94,37.06,-2.0,-1.2,-298.6,315.3,307.0,0.0093,0.0093,0.0129,0.0
72589.0,10000.0,55.11,30.89,-2.0,-2.254,-282.6,299.3,290.9,-0.02,-0.02,0.0403,0.0
72639.0,10001.0,64.43,21.57,-2.0,-2.959,-238.8,254.2,246.5,-0.0449,-0.0449,0.0608,0.0
72689.0,10002.0,74.48,11.52,-2.0,-4.283,-134.0,151.1,142.6,-0.1117,-0.1117,0.0732,0.0
72739.0,10002.0,87.12,-1.12,0.61,-3.892,15.6,-8.2,-11.9,-0.1053,-0.1053,0.0751,0.5954
72789.0,9997.0,93.89,-7.89,2.0,-1.7,98.9,-101.7,-100.3,-0.0093,-0.0093,0.0707,0.5954
72839.0,10001.0,91.91,-5.91,2.0,0.029,111.1,-124.3,-117.7,0.0752,0.0752,0.0665,0.5954
72889.0,9999.0,91.57,-5.57,1.51,0.118,22.9,-36.0,-29.4,0.0754,0.0754,0.0631,2.0667
72939.0,10157.0,90.86,-4.86,-2.0,0.342,-52.2,57.7,55.0,0.0774,0.0774,0.059,2.0667
72989.0,9997.0,88.96,-2.96,-2.0,0.189,-86.1,103.7,94.9,0.0669,0.0669,0.0543,2.0667
73039.0,10171.0,89.94,-3.94,-2.0,-0.263,-106.0,136.3,121.1,0.0375,0.0375,0.0498,2.0667
73089.0,9997.0,90.57,-4.57,-2.0,0.463,-104.4,147.7,126.1,0.0652,0.0652,0.0435,2.0667
73139.0,10000.0,88.64,-2.64,-2.0,0.622,-101.7,150.0,125.8,0.0706,0.0706,0.0389,2.0667
73189.0,10001.0,86.82,-0.82,-2.0,0.669,-115.9,161.9,138.9,0.0722,0.0722,0.0359,2.0667
73239.0,9854.0,84.41,1.59,-2.0,0.656,-127.3,174.0,150.7,0.074,0.074,0.0349,2.0667
73289.0,9998.0,84.39,1.61,-2.0,0.104,-137.2,186.9,162.0,0.046,0.046,0.0345,2.0667
73339.0,10002.0,84.7,1.3,-2.0,0.277,-140.8,178.2,159.5,0.0531,0.0531,0.0336,2.0667
73389.0,9997.0,81.9,4.1,-2.0,0.532,-138.8,154.3,146.6,0.0713,0.0713,0.0346,2.0667
73439.0,10000.0,84.77,1.23,-2.0,-0.377,-125.3,140.8,133.0,0.0221,0.0221,0.0351,2.0667
73489.0,10000.0,87.12,-1.12,-2.0,-0.901,-65.7,102.6,84.2,-0.0101,-0.0101,0.0331,2.0667
73539.0,10008.0,86.73,-0.73,-1.51,0.03,-14.4,46.5,30.5,0.0343,0.0343,0.0302,0.5436
73589.0,10133.0,87.27,-1.27,-0.72,-0.569,-5.3,23.6,14.4,0.0029,0.0029,0.0287,-0.1777
73639.0,9841.0,88.63,-2.63,-0.76,-0.315,-7.1,22.4,14.8,0.0101,0.0101,0.0259,-0.9139
73689.0,9998.0,88.36,-2.36,-0.09,-0.11,-0.2,2.7,1.5,0.0186,0.0186,0.0232,-0.9885
73739.0,10001.0,89.43,-3.43,-0.11,-0.198,-0.2,3.4,1.8,0.0093,0.0093,0.0205,-1.0801
73789.0,10000.0,89.41,-3.41,-0.05,0.062,-0.2,0.9,0.6,0.0187,0.0187,0.0174,-1.1088
73839.0,10000.0,88.81,-2.81,-0.03,0.224,-0.2,0.2,0.2,0.0245,0.0245,0.0147,-1.1202
73889.0,10134.0,88.47,-2.47,-0.3,0.148,-3.4,7.3,5.4,0.018,0.018,0.0124,-1.3893
73939.0,10002.0,88.68,-2.68,-0.71,-0.008,-10.1,16.7,13.4,0.0061,0.0061,0.0098,-2.0591
73989.0,9997.0,87.86,-1.86,-0.63,0.228,-7.1,15.8,11.5,0.0162,0.0162,0.0072,-2.6316
