# Gains: Kp,Ki,Kd,Kp_vel,Ki_vel
# 0.100000,1.200000,0.050000,0.050000,0.020000
t_ms,dt_us,pitch,pitch_err,vel_offset,theta_dot,vel_L,vel_R,v_fwd,i_unsat,i_sat,z_theta,vel_int
1016.0,10002.0,85.3,0.7,0.01,0.109,0.0,-0.2,-0.1,0.0071,0.0071,0.0005,0.0057
1066.0,10002.0,85.27,0.73,0.0,0.007,0.0,0.0,0.0,0.0029,0.0029,0.0011,0.0057
1116.0,10000.0,85.26,0.74,0.0,0.013,0.0,0.0,0.0,0.0039,0.0039,0.0018,0.0057
1166.0,10000.0,85.05,0.95,0.0,0.051,0.0,0.0,0.0,0.007,0.007,0.0025,0.0057
1216.0,10001.0,84.99,1.01,0.0,0.018,0.0,0.0,0.0,0.0065,0.0065,0.0034,0.0057
1266.0,10165.0,84.75,1.25,0.0,0.081,0.0,0.0,0.0,0.0112,0.0112,0.0044,0.0057
1316.0,9833.0,84.51,1.49,0.0,0.059,0.0,0.0,0.0,0.012,0.012,0.0056,0.0057
1366.0,10171.0,84.43,1.57,0.0,0.053,0.0,0.0,0.0,0.0134,0.0134,0.0069,0.0057
1416.0,10000.0,84.08,1.92,-0.03,0.123,-0.2,0.9,0.6,0.0192,0.0192,0.0084,-0.0229
1466.0,10000.0,83.93,2.07,-0.11,0.059,0.0,4.4,2.2,0.0182,0.0182,0.0102,-0.1317
1516.0,10151.0,83.79,2.21,-0.27,0.07,0.0,10.3,5.2,0.0208,0.0208,0.0119,-0.3893
1566.0,9853.0,83.76,2.24,-0.42,0.039,-0.2,16.0,8.1,0.0211,0.0211,0.0137,-0.7946
1616.0,10154.0,83.79,2.21,-0.62,-0.019,-0.5,23.1,11.8,0.0197,0.0197,0.0152,-1.386
1666.0,9847.0,84.28,1.72,-0.73,-0.17,-0.2,27.3,13.7,0.0126,0.0126,0.0163,-2.0709
1716.0,10000.0,84.85,1.15,-0.68,-0.057,0.0,25.0,12.5,0.0181,0.0181,0.0168,-2.6968
1766.0,10000.0,84.35,1.65,-0.53,0.085,-0.2,18.5,9.4,0.027,0.027,0.0175,-3.1662
1816.0,9997.0,85.56,0.44,-0.79,-0.365,-3.4,25.0,14.2,0.0027,0.0027,0.0179,-3.8762
1866.0,10164.0,86.33,-0.33,-0.71,-0.131,-2.1,22.7,12.4,0.0124,0.0124,0.0171,-4.4945
1916.0,9830.0,85.95,0.05,-0.24,-0.027,0.0,6.0,3.0,0.0182,0.0182,0.0165,-4.6428
1966.0,10171.0,87.2,-1.2,-0.27,-0.28,-0.7,6.2,3.4,0.0027,0.0027,0.0158,-4.8152
2016.0,10002.0,87.43,-1.43,-0.19,-0.001,-0.2,3.4,1.8,0.0146,0.0146,0.0143,-4.9068
2066.0,10000.0,87.11,-1.11,-0.12,0.077,0.0,0.7,0.3,0.0176,0.0176,0.0131,-4.9239
2116.0,10000.0,87.03,-1.03,-0.16,0.091,-0.7,1.6,1.1,0.0172,0.0172,0.012,-4.9812
2166.0,9853.0,86.93,-0.93,-0.26,0.113,-0.9,5.5,3.2,0.017,0.017,0.011,-5.141
2216.0,9998.0,86.69,-0.69,-0.31,0.136,0.0,8.2,4.1,0.0174,0.0174,0.0101,-5.3477
2266.0,9847.0,86.37,-0.37,-0.4,0.105,0.0,11.4,5.7,0.0153,0.0153,0.0093,-5.6331
2315.0,10138.0,86.58,-0.58,-0.49,-0.018,0.0,14.9,7.4,0.0077,0.0077,0.0086,-6.0063
2366.0,10000.0,86.28,-0.28,-0.38,0.117,0.0,10.3,5.2,0.0141,0.0141,0.0077,-6.264
2416.0,10004.0,86.19,-0.19,-0.23,-0.015,0.0,4.1,2.1,0.0074,0.0074,0.0073,-6.367
2466.0,10002.0,86.32,-0.32,-0.19,0.116,0.0,2.3,1.1,0.0132,0.0132,0.0068,-6.4243
2515.0,9834.0,85.59,0.41,-0.15,0.104,0.0,0.7,0.3,0.0137,0.0137,0.0068,-6.4414
2566.0,10002.0,86.28,-0.28,-0.22,-0.168,0.0,3.4,1.7,-0.0011,-0.0011,0.0067,-6.5276
2616.0,10002.0,86.87,-0.87,-0.15,-0.129,0.0,0.7,0.3,-0.0009,-0.0009,0.0059,-6.5447
2666.0,10000.0,87.18,-1.18,-0.13,-0.08,0.0,0.0,0.0,-0.0001,-0.0001,0.0049,-6.5447
2716.0,10000.0,87.33,-1.33,-0.13,0.025,0.0,0.0,0.0,0.0034,0.0034,0.0036,-6.5447
2766.0,9861.0,86.88,-0.88,-0.13,0.084,0.0,0.0,0.0,0.0057,0.0057,0.0026,-6.5447
2816.0,10144.0,87.09,-1.09,-0.13,-0.024,0.0,0.0,0.0,-0.0011,-0.0011,0.0016,-6.5447
2866.0,9840.0,87.04,-1.04,-0.13,0.104,0.0,0.0,0.0,0.004,0.004,0.0005,-6.5447
2916.0,10151.0,86.47,-0.47,-0.13,0.127,0.0,0.0,0.0,0.0052,0.0052,-0.0002,-6.5447
2966.0,10000.0,86.37,-0.37,-0.13,0.035,0.0,0.0,0.0,0.0003,0.0003,-0.0006,-6.5447
3016.0,10000.0,86.5,-0.5,-0.13,0.015,0.0,0.0,0.0,-0.0016,-0.0016,-0.0011,-6.5447
3066.0,10002.0,86.21,-0.21,-0.13,0.098,0.0,0.0,0.0,0.0025,0.0025,-0.0016,-6.5447
3116.0,9833.0,86.02,-0.02,-0.13,0.039,0.0,0.0,0.0,-0.0004,-0.0004,-0.0017,-6.5447
3166.0,10178.0,86.05,-0.05,-0.13,0.068,0.0,0.0,0.0,0.0008,0.0008,-0.0019,-6.5447
3215.0,9820.0,85.63,0.37,-0.13,0.099,0.0,0.0,0.0,0.0031,0.0031,-0.0018,-6.5447
3266.0,9998.0,85.55,0.45,-0.13,0.042,0.0,0.0,0.0,0.0007,0.0007,-0.0016,-6.5447
3316.0,10000.0,85.42,0.58,-0.13,0.11,0.0,0.0,0.0,0.0047,0.0047,-0.0012,-6.5447
3366.0,9997.0,84.83,1.17,-0.13,0.222,0.0,0.0,0.0,0.012,0.012,-0.0006,-6.5447
3416.0,10151.0,83.86,2.14,-0.14,0.327,0.0,0.2,0.1,0.0204,0.0204,0.0008,-6.5505
3466.0,10002.0,83.01,2.99,-0.27,0.141,0.0,5.3,2.6,0.0149,0.0149,0.0031,-6.6821
3516.0,10151.0,83.45,2.55,-0.47,-0.066,0.0,13.1,6.5,0.0061,0.0061,0.0052,-7.0085
3566.0,10000.0,83.2,2.8,-0.34,0.074,0.0,7.8,3.9,0.016,0.016,0.0071,-7.2031
3616.0,10000.0,83.05,2.95,-0.17,-0.023,0.0,1.1,0.6,0.0144,0.0144,0.0094,-7.2317
3666.0,10001.0,83.53,2.47,-0.21,-0.016,0.0,2.7,1.4,0.0165,0.0165,0.0115,-7.3004
3716.0,9834.0,83.31,2.69,-0.25,0.042,0.0,4.1,2.1,0.0221,0.0221,0.0136,-7.4031
3766.0,10171.0,83.65,2.35,-0.41,-0.11,0.0,10.1,5.0,0.0161,0.0161,0.0156,-7.6559
3815.0,9833.0,83.89,2.11,-0.55,-0.166,0.0,15.6,7.8,0.0145,0.0145,0.017,-8.0438
3866.0,10164.0,84.84,1.16,-0.28,-0.346,0.0,4.6,2.3,0.0058,0.0058,0.0181,-8.1587
3916.0,10000.0,85.83,0.17,-0.16,-0.169,0.0,0.0,0.0,0.0135,0.0135,0.0182,-8.1587
3966.0,10004.0,85.69,0.31,-0.16,0.015,0.0,0.0,0.0,0.0229,0.0229,0.0183,-8.1587
4016.0,10131.0,85.83,0.17,-0.21,-0.047,0.0,1.8,0.9,0.0196,0.0196,0.0184,-8.2045
4066.0,9848.0,86.13,-0.13,-0.2,-0.142,0.0,1.4,0.7,0.0142,0.0142,0.0182,-8.2388
4116.0,10145.0,86.81,-0.81,-0.16,-0.152,0.0,0.0,0.0,0.012,0.012,0.0176,-8.2388
4166.0,10002.0,86.96,-0.96,-0.16,-0.008,0.0,0.0,0.0,0.0178,0.0178,0.0166,-8.2388
4216.0,10000.0,86.6,-0.6,-0.16,0.082,0.0,0.0,0.0,0.0219,0.0219,0.0158,-8.2388
4266.0,10000.0,86.43,-0.43,-0.17,0.012,0.0,0.2,0.1,0.0179,0.0179,0.0152,-8.2445
4316.0,10002.0,86.68,-0.68,-0.16,-0.06,0.0,0.0,0.0,0.0132,0.0132,0.0146,-8.2445
4366.0,9841.0,86.91,-0.91,-0.16,-0.036,0.0,0.0,0.0,0.013,0.013,0.0137,-8.2445
4416.0,10002.0,86.81,-0.81,-0.16,0.03,0.0,0.0,0.0,0.0154,0.0154,0.0128,-8.2445
4466.0,10002.0,86.66,-0.66,-0.16,0.02,0.0,0.0,0.0,0.0142,0.0142,0.012,-8.2445
4516.0,10000.0,86.72,-0.72,-0.16,-0.031,0.0,0.0,0.0,0.0106,0.0106,0.0113,-8.2445
4566.0,10000.0,86.84,-0.84,-0.16,-0.011,0.0,0.0,0.0,0.0105,0.0105,0.0104,-8.2445
4616.0,10001.0,86.67,-0.67,-0.16,0.034,0.0,0.0,0.0,0.012,0.012,0.0096,-8.2445
4666.0,10002.0,86.54,-0.54,-0.16,0.018,0.0,0.0,0.0,0.0106,0.0106,0.009,-8.2445
4715.0,9834.0,86.64,-0.64,-0.16,-0.024,0.0,0.0,0.0,0.0076,0.0076,0.0084,-8.2445
4766.0,10002.0,86.79,-0.79,-0.16,-0.029,0.0,0.0,0.0,0.0062,0.0062,0.0076,-8.2445
4816.0,10000.0,86.81,-0.81,-0.16,-0.004,0.0,0.0,0.0,0.0064,0.0064,0.0067,-8.2445
4866.0,10000.0,86.79,-0.79,-0.16,-0.001,0.0,0.0,0.0,0.0055,0.0055,0.0059,-8.2445
4916.0,10317.0,86.78,-0.78,-0.16,-0.011,0.0,0.0,0.0,0.004,0.004,0.005,-8.2445
4966.0,9848.0,86.82,-0.82,-0.16,-0.008,0.0,0.0,0.0,0.0031,0.0031,0.0042,-8.2445
5016.0,10150.0,86.89,-0.89,-0.16,0.001,0.0,0.0,0.0,0.0024,0.0024,0.0033,-8.2445
5066.0,10002.0,86.88,-0.88,-0.16,0.0,0.0,0.0,0.0,0.0012,0.0012,0.0024,-8.2445
5116.0,10000.0,86.94,-0.94,-0.16,-0.014,0.0,0.0,0.0,-0.0007,-0.0007,0.0014,-8.2445
5166.0,10000.0,86.97,-0.97,-0.16,-0.008,0.0,0.0,0.0,-0.0016,-0.0016,0.0004,-8.2445
5216.0,10006.0,86.97,-0.97,-0.16,0.001,0.0,0.0,0.0,-0.0024,-0.0024,-0.0005,-8.2445
5266.0,10002.0,86.97,-0.97,-0.16,0.014,0.0,0.0,0.0,-0.0029,-0.0029,-0.0015,-8.2445
5316.0,10165.0,86.88,-0.88,-0.16,0.026,0.0,0.0,0.0,-0.0033,-0.0033,-0.0025,-8.2445
5366.0,9840.0,86.84,-0.84,-0.16,0.011,0.0,0.0,0.0,-0.005,-0.005,-0.0034,-8.2445
5416.0,10164.0,86.82,-0.82,-0.16,0.0,0.0,0.0,0.0,-0.0065,-0.0065,-0.0042,-8.2445
5466.0,10000.0,86.72,-0.72,-0.16,0.026,0.0,0.0,0.0,-0.0061,-0.0061,-0.005,-8.2445
5516.0,10000.0,86.64,-0.64,-0.16,0.044,0.0,0.0,0.0,-0.0059,-0.0059,-0.0057,-8.2445
5566.0,9860.0,86.26,-0.26,-0.16,0.197,0.0,0.0,0.0,0.0016,0.0016,-0.0063,-8.2445
5616.0,10144.0,85.13,0.87,-0.16,0.391,0.0,0.0,0.0,0.0133,0.0133,-0.0061,-8.2445
5666.0,9840.0,83.53,2.47,-0.16,0.57,0.0,0.0,0.0,0.0264,0.0264,-0.0047,-8.2445
5716.0,10150.0,81.55,4.45,-0.23,0.603,0.0,2.5,1.3,0.0346,0.0346,-0.0016,-8.3077
5766.0,10000.0,80.56,5.44,-0.64,0.404,0.0,18.8,9.4,0.0306,0.0306,0.0025,-8.7771
5816.0,10000.0,79.87,6.13,-1.01,0.349,0.0,32.7,16.4,0.0337,0.0337,0.007,-9.5957
5866.0,10161.0,78.81,7.19,-1.25,0.395,-0.2,41.4,20.8,0.0432,0.0432,0.0119,-10.6378
5916.0,10002.0,78.32,7.68,-1.62,0.188,-4.1,51.1,27.6,0.0397,0.0397,0.0175,-12.0175
5966.0,9998.0,79.26,6.74,-2.0,-0.138,-19.5,62.7,41.1,0.027,0.027,0.0222,-12.0175
6016.0,9833.0,79.57,6.43,-2.0,-0.069,-30.5,65.5,48.0,0.0348,0.0348,0.0261,-12.0175
6066.0,10000.0,79.77,6.23,-2.0,-0.051,-36.4,65.5,51.0,0.0399,0.0399,0.0299,-12.0175
6116.0,10000.0,80.61,5.39,-2.0,-0.228,-47.2,70.3,58.7,0.0336,0.0336,0.0332,-12.0175
6166.0,9995.0,81.41,4.59,-2.0,-0.179,-54.3,72.8,63.5,0.0378,0.0378,0.0356,-12.0175
6216.0,10002.0,81.36,4.64,-2.0,-0.17,-57.9,74.4,66.2,0.041,0.041,0.0379,-12.0175
6266.0,9998.0,82.29,3.71,-2.0,-0.349,-63.4,80.8,72.1,0.0329,0.0329,0.0398,-12.0175
6316.0,10157.0,83.0,3.0,-2.0,-0.337,-66.6,85.4,76.0,0.0338,0.0338,0.041,-12.0175
6366.0,10002.0,83.75,2.25,-2.0,-0.302,-66.6,85.4,76.0,0.0351,0.0351,0.0415,-12.0175
6416.0,10000.0,84.66,1.34,-2.0,-0.4,-67.1,86.6,76.8,0.0285,0.0285,0.0413,-12.0175
6466.0,10003.0,85.56,0.44,-2.0,-0.392,-65.0,86.3,75.7,0.0262,0.0262,0.0401,-12.0175
6516.0,9821.0,86.33,-0.33,-2.0,-0.297,-59.1,81.1,70.1,0.0276,0.0276,0.0383,-12.0175
6566.0,10181.0,87.0,-1.0,-2.0,-0.373,-55.2,78.1,66.6,0.0199,0.0199,0.036,-12.0175
6616.0,10002.0,87.75,-1.75,-2.0,-0.342,-51.3,74.0,62.6,0.0166,0.0166,0.0329,-12.0175
6666.0,10176.0,88.09,-2.09,-2.0,-0.233,-43.7,64.8,54.3,0.0174,0.0174,0.0294,-12.0175
6716.0,10000.0,88.29,-2.29,-2.0,-0.184,-36.6,55.6,46.1,0.0151,0.0151,0.0258,-12.0175
6766.0,10004.0,87.83,-1.83,-2.0,-0.134,-30.9,48.1,39.5,0.0137,0.0137,0.0219,-12.0175
6816.0,10140.0,88.95,-2.95,-1.4,-0.43,-25.0,20.6,22.8,-0.0063,-0.0063,0.0182,-13.1568
6866.0,9841.0,89.37,-3.37,-0.5,-0.235,-8.0,1.4,4.7,-0.0004,-0.0004,0.0144,-13.3908
6916.0,10147.0,90.81,-4.81,-0.27,-0.447,0.0,0.0,0.0,-0.0177,-0.0177,0.0104,-13.3908
6966.0,10002.0,92.95,-6.95,-0.22,-0.617,0.7,-1.4,-1.0,-0.0361,-0.0361,0.0048,-13.3393
7016.0,10000.0,93.47,-7.47,0.42,-0.212,11.7,-15.3,-13.5,-0.0235,-0.0235,-0.0017,-12.6638
7066.0,10000.0,93.76,-7.76,1.08,-0.239,24.0,-28.2,-26.1,-0.0316,-0.0316,-0.0078,-11.3585
7116.0,9998.0,94.82,-8.82,1.32,-0.323,28.9,-31.8,-30.3,-0.0447,-0.0447,-0.0142,-9.8413
7166.0,9854.0,94.65,-8.65,2.0,-0.078,43.5,-44.9,-44.2,-0.0388,-0.0388,-0.0206,-9.8413
7216.0,9998.0,94.8,-8.8,2.0,-0.051,54.7,-55.9,-55.3,-0.0447,-0.0447,-0.0264,-9.8413
7266.0,9854.0,95.21,-9.21,2.0,-0.045,62.7,-63.9,-63.3,-0.0524,-0.0524,-0.0326,-9.8413
7316.0,10000.0,95.09,-9.09,2.0,0.104,73.7,-75.6,-74.7,-0.0523,-0.0523,-0.0388,-9.8413
7366.0,10000.0,94.51,-8.51,2.0,0.193,84.5,-87.5,-86.0,-0.0542,-0.0542,-0.0448,-9.8413
