t_ms,dt_us,pitch,pitch_err,vel_offset,theta_dot,vel_L,vel_R,v_fwd,i_unsat,i_sat,z_theta,vel_int
5220.0,10000.0,81.52,4.48,0.13,-1.08,3.4,0.9,-1.3,-0.0462,-0.0462,-0.056,0.1233
5270.0,9907.0,86.39,-0.39,-3.0,-0.405,-53.8,58.9,56.3,-0.062,-0.062,-0.0568,0.1233
5320.0,9830.0,76.6,9.4,2.74,1.551,28.6,-25.9,-27.3,0.23,0.23,-0.0532,1.4839
5370.0,10002.0,87.36,-1.36,-3.0,-2.756,-41.9,47.4,44.7,-0.2585,-0.2585,-0.0481,1.4839
5420.0,9823.0,83.66,2.34,-2.46,1.52,-22.4,26.8,24.6,0.1205,0.1205,-0.0519,0.2574
5470.0,10177.0,80.19,5.81,3.0,-0.136,30.5,-30.7,-30.6,0.066,0.066,-0.0469,0.2574
5520.0,10000.0,90.03,-4.03,-3.0,-1.874,-58.6,62.5,60.6,-0.2113,-0.2113,-0.0464,0.2574
5570.0,10000.0,80.41,5.59,2.25,2.261,22.2,-22.4,-22.3,0.2492,0.2492,-0.0472,1.3738
5620.0,9998.0,85.39,0.61,0.04,-1.936,2.3,1.8,-0.2,-0.1493,-0.1493,-0.0412,1.3853
5670.0,9847.0,88.82,-2.82,-3.0,-0.006,-36.9,44.0,40.4,-0.0513,-0.0513,-0.0451,1.3853
5720.0,9998.0,80.08,5.92,3.0,1.255,54.0,-49.2,-51.6,0.1782,0.1782,-0.0435,1.3853
5770.0,10184.0,91.43,-5.43,-2.99,-2.55,-27.5,32.3,29.9,-0.2775,-0.2775,-0.0423,-0.109
5820.0,10000.0,85.09,0.91,0.82,1.829,10.1,-6.2,-8.1,0.1614,0.1614,-0.0469,0.2974
5870.0,10000.0,84.65,1.35,3.0,-0.937,37.1,-35.5,-36.3,-0.037,-0.037,-0.0422,0.2974
5920.0,10391.0,92.32,-6.32,-3.0,-1.079,-35.3,39.2,37.2,-0.1676,-0.1676,-0.0452,0.2974
5970.0,10002.0,80.84,5.16,3.0,2.238,54.7,-55.6,-55.2,0.2502,0.2502,-0.0469,0.2974
6020.0,9816.0,90.66,-4.66,0.34,-2.434,3.9,-2.7,-3.3,-0.2324,-0.2324,-0.044,0.4628
6070.0,10002.0,89.98,-3.98,-0.95,0.689,-8.2,10.8,9.5,0.0121,0.0121,-0.0493,-0.0141
6120.0,9996.0,83.5,2.5,3.0,0.648,59.1,-58.9,-59.0,0.0998,0.0998,-0.0481,-0.0141
6170.0,10000.0,94.5,-8.5,-2.8,-2.069,-27.3,28.4,27.8,-0.2641,-0.2641,-0.0506,-1.4052
6220.0,10008.0,86.14,-0.14,3.0,2.393,34.6,-36.4,-35.5,0.2164,0.2164,-0.0561,-1.4052
6270.0,9998.0,88.6,-2.6,3.0,-1.371,34.8,-33.7,-34.2,-0.1062,-0.1062,-0.0522,-1.4052
6320.0,10002.0,94.12,-8.12,-3.0,-0.41,-31.1,31.4,31.3,-0.1299,-0.1299,-0.0579,-1.4052
6370.0,10166.0,82.53,3.47,3.0,2.423,61.4,-65.3,-63.3,0.2503,0.2503,-0.0608,-1.4052
6419.0,9827.0,93.32,-7.32,-0.46,-2.456,-6.4,2.5,4.5,-0.2644,-0.2644,-0.0604,-1.6277
6470.0,10000.0,91.09,-5.09,-0.35,1.062,-5.0,1.6,3.3,0.0375,0.0375,-0.0678,-1.7943
6520.0,10000.0,85.27,0.73,3.0,0.363,59.5,-62.7,-61.1,0.0616,0.0616,-0.067,-1.7943
6570.0,9860.0,94.56,-8.56,-2.69,-1.526,-27.3,25.9,26.6,-0.2202,-0.2202,-0.0706,-3.1189
6619.0,9823.0,86.13,-0.13,3.0,2.303,39.8,-44.0,-41.9,0.2093,0.2093,-0.0757,-3.1189
6670.0,10177.0,90.2,-4.2,2.5,-1.491,22.7,-27.7,-25.2,-0.1341,-0.1341,-0.0733,-1.855
6720.0,9823.0,91.94,-5.94,-2.09,0.344,-22.7,18.5,20.6,-0.0426,-0.0426,-0.0783,-2.8818
6770.0,10000.0,84.08,1.92,3.0,1.383,49.2,-56.1,-52.7,0.1536,0.1536,-0.0795,-2.8818
6820.0,10000.0,93.21,-7.21,-2.4,-1.634,-25.2,22.0,23.6,-0.2146,-0.2146,-0.0809,-4.0612
6870.0,10002.0,85.17,0.83,0.67,2.288,7.1,-7.1,-7.1,0.1962,0.1962,-0.0855,-3.7062
6920.0,10166.0,85.89,0.11,1.13,-0.882,10.3,-12.8,-11.6,-0.0598,-0.0598,-0.0823,-3.128
6970.0,10002.0,89.78,-3.78,-3.0,-0.082,-46.0,43.7,44.9,-0.0657,-0.0657,-0.0857,-3.128
7020.0,10166.0,79.79,6.21,3.0,1.746,35.0,-34.1,-34.6,0.22,0.22,-0.085,-3.128
7070.0,10000.0,89.75,-3.75,-3.0,-2.49,-35.3,37.1,36.2,-0.2581,-0.2581,-0.0823,-3.128
7120.0,10000.0,85.9,0.1,-1.88,1.509,-18.1,18.8,18.4,0.1051,0.1051,-0.0878,-4.0497
7170.0,10000.0,81.95,4.05,3.0,0.026,35.5,-37.1,-36.3,0.0636,0.0636,-0.0842,-4.0497
7220.0,9834.0,91.19,-5.19,-3.0,-1.736,-51.8,50.2,51.0,-0.2104,-0.2104,-0.0848,-4.0497
7270.0,10166.0,81.58,4.42,2.69,2.306,27.7,-26.6,-27.1,0.2465,0.2465,-0.0866,-2.6884
