# Gains: Kp=0.40 Ki=0.00 Kd=0.10 Kp_vel=0.02 Ki_vel=0.005
# Inner=200Hz Outer=5Hz D_LPF=0.015
t_ms,dt_us,pitch,pitch_err,vel_offset,theta_dot,vel_L,vel_R,v_fwd,i_unsat,i_sat,z_theta,vel_int
t_ms,dt_us,pitch,pitch_err,vel_offset,theta_dot,vel_L,vel_R,v_fwd,i_unsat,i_sat,z_theta,vel_int
1794,4994,60.80,25.20,0.00,-2.837,-3.4,7.6,0.0,-0.1078,-0.1078,0.0283,0.0000
1845,5001,68.38,17.62,0.00,-0.302,18.1,-10.1,0.0,0.0928,0.0928,0.0455,0.0000
1895,5002,77.51,8.49,0.00,-2.434,26.8,-21.8,0.0,-0.1842,-0.1842,0.0573,0.0000
1945,5005,77.54,8.46,0.57,0.299,27.7,-27.0,-27.4,0.0930,0.0930,0.0640,5.4732
1995,5004,84.23,1.77,0.57,-2.391,22.0,-27.0,-27.4,-0.2227,-0.2227,0.0694,5.4732
2045,5000,80.26,5.74,0.57,-0.240,36.9,-41.7,-27.4,0.0201,0.0201,0.0730,5.4732
2095,5005,85.14,0.86,0.57,-1.677,31.4,-44.4,-27.4,-0.1576,-0.1576,0.0761,5.4732
2145,5005,81.67,4.33,1.13,-0.805,39.6,-65.7,-52.7,-0.0424,-0.0424,0.0793,16.0072
2195,5000,81.64,4.36,1.13,-1.105,33.7,-69.8,-52.7,-0.0722,-0.0722,0.0837,16.0072
2244,4999,79.73,6.27,1.13,-0.835,39.6,-68.2,-52.7,-0.0319,-0.0319,0.0895,16.0072
2295,4998,77.93,8.07,1.13,-1.130,38.7,-47.9,-52.7,-0.0488,-0.0488,0.0968,16.0072
2345,5005,77.46,8.54,0.51,-0.925,20.4,-20.8,-20.6,-0.0293,-0.0293,0.1049,20.1292
2395,5000,73.53,12.47,0.51,-1.942,21.5,-26.3,-20.6,-0.1036,-0.1036,0.1155,20.1292
2445,5005,72.36,13.64,0.51,-1.693,16.0,-23.1,-20.6,-0.0705,-0.0705,0.1268,20.1292
2495,5005,72.15,13.85,0.51,-2.011,61.4,-82.2,-20.6,-0.1008,-0.1008,0.1397,20.1292
2545,5001,69.98,16.02,2.11,-0.681,67.8,-123.7,-95.7,0.0585,0.0585,0.1531,39.2732
2595,5001,67.07,18.93,2.11,-1.044,12.6,-91.8,-95.7,0.0425,0.0425,0.1704,39.2732
2645,4876,66.41,19.59,2.11,-2.324,-58.4,10.5,-95.7,-0.0809,-0.0809,0.1894,39.2732
2695,5004,68.92,17.08,2.11,-2.858,-19.5,-6.6,-95.7,-0.1518,-0.1518,0.2075,39.2732
2745,5005,69.21,16.79,1.70,-1.454,57.0,-86.3,-71.7,-0.0163,-0.0163,0.2238,53.6089
2795,5005,69.39,16.61,1.70,-1.329,55.0,-114.7,-71.7,-0.0050,-0.0050,0.2396,53.6089
2845,5005,68.59,17.41,1.70,-1.694,13.7,-96.9,-71.7,-0.0360,-0.0360,0.2560,53.6089
2895,5003,72.83,13.17,1.70,-3.629,3.0,-49.2,-71.7,-0.2591,-0.2591,0.2717,53.6089
2945,5002,82.30,3.70,1.86,-4.314,71.2,-79.9,-75.6,-0.3926,-0.3500,0.2800,68.7227
2995,4991,89.66,-3.66,1.86,-4.526,184.8,-149.1,-75.6,-0.4652,-0.3500,0.2817,68.7227
3045,4998,101.49,-15.49,1.86,-4.877,243.7,-203.4,-75.6,-0.5829,-0.3500,0.2817,68.7227
3095,5005,105.67,-19.67,1.86,-1.814,268.4,-240.0,-75.6,-0.3058,-0.3058,0.2786,68.7227
3145,5005,103.15,-17.15,3.00,-0.414,287.2,-267.2,-277.2,-0.1402,-0.1402,0.2642,68.7227
3195,5005,102.11,-16.11,3.00,-1.295,297.9,-277.1,-277.2,-0.2211,-0.2211,0.2526,68.7227
3245,5003,102.72,-16.72,3.00,-1.095,299.8,-277.8,-277.2,-0.2053,-0.2053,0.2408,68.7227
3295,5001,102.74,-16.74,3.00,-1.157,297.9,-279.2,-277.2,-0.2116,-0.2116,0.2287,68.7227
3345,4989,103.89,-17.89,3.00,-1.425,300.2,-284.2,-292.2,-0.2465,-0.2465,0.2162,68.7227
3395,5000,105.61,-19.61,3.00,-1.212,305.0,-286.2,-292.2,-0.2371,-0.2371,0.2021,68.7227
3445,4858,104.41,-18.41,3.00,-1.289,302.1,-266.8,-292.2,-0.2365,-0.2365,0.1888,68.7227
3495,5005,101.69,-15.69,3.00,-0.031,290.4,-248.2,-292.2,-0.0917,-0.0917,0.1764,68.7227
3545,5005,98.11,-12.11,3.00,1.183,278.2,-207.2,-242.7,0.0547,0.0547,0.1666,68.7227
3594,5003,88.33,-2.33,3.00,1.033,199.9,-111.8,-242.7,0.1080,0.1080,0.1640,68.7227
3644,5002,93.16,-7.16,3.00,0.255,17.9,21.1,-242.7,-0.0036,-0.0036,0.1607,68.7227
3695,5007,89.45,-3.45,3.00,-0.685,26.1,-12.4,-242.7,-0.0716,-0.0716,0.1607,68.7227
3745,4998,88.05,-2.05,0.22,1.356,-6.0,5.5,5.7,0.1229,0.1229,0.1590,67.5777
3795,5004,88.08,-2.08,0.22,-1.600,-0.2,-2.1,5.7,-0.1730,-0.1730,0.1589,67.5777
3845,5005,84.72,1.28,0.22,1.751,2.5,1.1,5.7,0.1856,0.1856,0.1576,67.5777
3895,5005,87.59,-1.59,0.22,-2.208,6.2,-0.5,5.7,-0.2303,-0.2303,0.1592,67.5777
3945,5001,83.47,2.53,0.45,1.967,7.3,-3.7,-5.5,0.2175,0.2175,0.1587,68.6769
3995,5001,87.07,-1.07,0.45,-2.570,2.1,1.6,-5.5,-0.2613,-0.2613,0.1615,68.6769
4044,5001,82.29,3.71,0.45,2.176,8.9,-4.1,-5.5,0.2467,0.2467,0.1619,68.6769
4095,5000,87.87,-1.87,0.45,-2.683,-4.4,9.6,-5.5,-0.2782,-0.2782,0.1646,68.6769
4145,5005,82.03,3.97,0.53,2.468,13.3,-4.4,-8.8,0.2782,0.2782,0.1648,70.4403
4195,5005,88.17,-2.17,0.53,-2.733,0.7,6.6,-8.8,-0.2848,-0.2848,0.1674,70.4403
4245,5005,82.76,3.24,0.53,2.281,8.5,-6.4,-8.8,0.2544,0.2544,0.1670,70.4403
4295,5003,88.24,-2.24,0.53,-2.786,-0.9,2.7,-8.8,-0.2905,-0.2905,0.1694,70.4403
4345,5001,83.32,2.68,0.60,2.263,11.2,-12.1,-11.7,0.2492,0.2492,0.1688,72.7760
4395,5002,89.56,-3.56,0.60,-2.626,-2.7,0.0,-11.7,-0.2833,-0.2833,0.1703,72.7760
4445,4998,83.39,2.61,0.60,2.356,14.4,-13.3,-11.7,0.2580,0.2580,0.1694,72.7760
4495,5005,90.85,-4.85,0.60,-2.590,-10.3,8.9,-11.7,-0.2887,-0.2887,0.1699,72.7760
4545,5004,82.34,3.66,0.66,2.377,15.1,-13.3,-14.2,0.2679,0.2679,0.1693,75.6156
4594,4997,89.97,-3.97,0.66,-2.580,-22.0,20.2,-14.2,-0.2812,-0.2812,0.1706,75.6156
4645,5005,81.43,4.57,0.66,2.079,8.7,-10.5,-14.2,0.2444,0.2444,0.1709,75.6156
4695,5000,89.86,-3.86,0.66,-2.192,-22.7,24.3,-14.2,-0.2415,-0.2415,0.1724,75.6156
4744,5000,80.83,5.17,0.68,1.403,15.8,-12.6,-14.2,0.1811,0.1811,0.1734,78.4552
4794,4876,89.39,-3.39,0.68,-1.115,-18.8,25.0,-14.2,-0.1304,-0.1304,0.1744,78.4552
4845,5005,80.53,5.47,0.68,0.603,21.8,-22.0,-14.2,0.1032,0.1032,0.1768,78.4552
4895,5000,89.51,-3.51,0.68,-0.610,-25.9,30.9,-14.2,-0.0809,-0.0809,0.1769,78.4552
4945,5005,80.57,5.43,0.93,0.370,26.6,-24.5,-25.5,0.0814,0.0814,0.1798,83.5620
4995,4849,88.72,-2.72,0.93,-0.575,-32.5,37.6,-25.5,-0.0700,-0.0700,0.1805,83.5620
5045,5003,80.71,5.29,0.93,0.082,23.6,-22.4,-25.5,0.0515,0.0515,0.1838,83.5620
5095,5001,88.19,-2.19,0.93,-0.147,-31.4,33.4,-25.5,-0.0235,-0.0235,0.1846,83.5620
5145,4996,80.83,5.17,0.91,-0.164,22.4,-24.3,-23.4,0.0260,0.0260,0.1883,88.2336
5195,4856,88.38,-2.38,0.91,0.174,-32.3,35.7,-23.4,0.0071,0.0071,0.1885,88.2336
5245,5005,81.34,4.66,0.91,-0.319,24.0,-23.8,-23.4,0.0070,0.0070,0.1921,88.2336
5295,5005,88.28,-2.28,0.91,0.316,-34.1,37.6,-23.4,0.0220,0.0220,0.1921,88.2336
5345,5005,81.80,4.20,0.91,-0.482,22.7,-22.4,-22.6,-0.0125,-0.0125,0.1955,92.7449
5394,5001,88.94,-2.94,0.91,0.492,-30.2,35.7,-22.6,0.0350,0.0350,0.1948,92.7449
5445,4999,83.29,2.71,0.91,-0.663,26.8,-23.8,-22.6,-0.0410,-0.0410,0.1974,92.7449
5495,4998,89.75,-3.75,0.91,0.582,-26.3,32.3,-22.6,0.0384,0.0384,0.1956,92.7449
5545,5005,84.21,1.79,1.08,-0.727,30.5,-27.9,-29.2,-0.0527,-0.0527,0.1974,98.5844
5595,5005,90.68,-4.68,1.08,0.479,-24.7,28.2,-29.2,0.0228,0.0228,0.1950,98.5844
5645,5005,85.07,0.93,1.08,-0.778,30.5,-30.9,-29.2,-0.0638,-0.0638,0.1962,98.5844
5695,5005,90.41,-4.41,1.08,0.999,-18.5,22.0,-29.2,0.0766,0.0766,0.1934,98.5844
5745,5000,84.98,1.02,1.10,-0.977,29.1,-29.1,-29.1,-0.0828,-0.0828,0.1949,104.4009
5794,5000,89.46,-3.46,1.10,1.763,-19.9,24.3,-29.1,0.1599,0.1599,0.1922,104.4009
5845,5005,84.16,1.84,1.10,-0.921,17.6,-18.8,-29.1,-0.0715,-0.0715,0.1949,104.4009
5895,4998,88.64,-2.64,1.10,1.158,-41.7,43.1,-29.1,0.1051,0.1051,0.1932,104.4009
5945,5005,82.89,3.11,0.79,-0.756,12.6,-12.6,-12.6,-0.0484,-0.0484,0.1963,106.9199
5995,5005,89.08,-3.08,0.79,0.394,-41.0,46.5,-12.6,0.0234,0.0234,0.1949,106.9199
6045,5005,83.87,2.13,0.79,-0.351,26.1,-23.4,-12.6,-0.0148,-0.0148,0.1967,106.9199
6095,5000,90.67,-4.67,0.79,-0.011,-26.8,30.5,-12.6,-0.0281,-0.0281,0.1944,106.9199
6144,4999,85.47,0.53,1.24,-0.494,35.0,-32.1,-33.5,-0.0370,-0.0370,0.1948,113.6295
6195,5006,92.05,-6.05,1.24,-0.161,-12.4,15.6,-33.5,-0.0497,-0.0497,0.1917,113.6295
6245,4998,87.15,-1.15,1.24,-0.362,44.7,-46.7,-33.5,-0.0356,-0.0356,0.1906,113.6295
6295,4853,94.91,-8.91,1.24,-0.723,0.5,1.6,-33.5,-0.1259,-0.1259,0.1863,113.6295
6345,5005,88.06,-2.06,1.89,0.631,63.2,-62.7,-63.0,0.0619,0.0619,0.1827,126.2248
6395,5005,97.58,-11.58,1.89,-1.934,16.0,-15.8,-63.0,-0.2610,-0.2610,0.1797,126.2248
6444,5003,93.00,-7.00,1.89,1.528,72.8,-75.6,-63.0,0.1171,0.1171,0.1729,126.2248
6495,5001,101.20,-15.20,1.89,-3.393,48.5,-50.6,-63.0,-0.4322,-0.3500,0.1702,126.2248
6545,4996,101.05,-15.05,2.11,0.906,68.7,-71.7,-70.2,0.0002,0.0002,0.1602,140.2625
6595,4998,100.64,-14.64,2.11,-0.608,115.0,-120.9,-70.2,-0.1482,-0.1482,0.1502,140.2625
6645,4849,103.60,-17.60,2.11,1.473,89.8,-89.3,-70.2,0.0391,0.0391,0.1361,140.2625
