# Session 5: Kp=0.50 Ki=0.00 Kd=0.04 Kp_vel=0.02 Ki_vel=0.005
# Inner=200Hz Outer=5Hz D_LPF=0.008
t_ms,dt_us,pitch,pitch_err,vel_offset,theta_dot,vel_L,vel_R,v_fwd,i_unsat,i_sat,z_theta,vel_int
t_ms,dt_us,pitch,pitch_err,vel_offset,theta_dot,vel_L,vel_R,v_fwd,i_unsat,i_sat,z_theta,vel_int
4490,5004,53.76,32.24,0.00,-2.561,-15.3,15.3,0.0,0.1789,0.1789,0.0313,0.0000
4540,5000,61.57,24.43,0.00,-3.099,-108.1,110.4,0.0,0.0892,0.0892,0.0555,0.0000
4590,4997,69.20,16.80,0.00,-1.520,-160.1,143.8,0.0,0.0858,0.0858,0.0726,0.0000
4639,5001,73.50,12.50,-3.00,-1.430,-163.5,125.0,144.3,0.0257,0.0257,0.0849,0.0000
4690,5003,76.88,9.12,-3.00,-0.619,-151.4,107.4,144.3,0.0286,0.0286,0.0915,0.0000
4740,5000,79.15,6.85,-3.00,-0.661,-84.0,63.4,144.3,0.0071,0.0071,0.0957,0.0000
4790,5000,79.61,6.39,-3.00,-0.520,-34.6,27.7,144.3,0.0088,0.0088,0.0986,0.0000
4840,5000,80.58,5.42,-0.28,-0.558,-18.3,8.5,13.4,0.0225,0.0225,0.1014,-2.6794
4890,5004,82.25,3.75,-0.28,-0.928,-9.2,2.5,13.4,-0.0068,-0.0068,0.1052,-2.6794
4940,5002,84.46,1.54,-0.28,-0.942,-7.3,3.7,13.4,-0.0267,-0.0267,0.1071,-2.6794
4989,5001,86.89,-0.89,-0.28,-0.859,6.0,-5.7,13.4,-0.0446,-0.0446,0.1071,-2.6794
5040,5000,87.34,-1.34,0.53,0.363,26.8,-25.4,-26.1,0.0075,0.0075,0.1057,2.5417
5090,5004,88.60,-2.60,0.53,-0.713,30.2,-26.8,-26.1,-0.0465,-0.0465,0.1048,2.5417
5140,5004,88.85,-2.85,0.53,0.956,22.4,-18.3,-26.1,0.0181,0.0181,0.1022,2.5417
5190,5004,88.56,-2.56,0.53,-0.564,21.5,-18.1,-26.1,-0.0402,-0.0402,0.1009,2.5417
5240,5004,88.31,-2.31,0.20,0.528,8.9,-8.9,-8.9,0.0027,0.0027,0.0988,4.3280
5290,5003,88.29,-2.29,0.20,-0.574,16.3,-16.0,-8.9,-0.0412,-0.0412,0.0974,4.3280
5339,5001,88.36,-2.36,0.20,0.658,10.3,-10.3,-8.9,0.0075,0.0075,0.0951,4.3280
5390,5001,87.78,-1.78,0.20,-0.368,15.3,-16.3,-8.9,-0.0285,-0.0285,0.0940,4.3280
5440,5001,87.76,-1.76,0.14,0.488,5.3,-5.7,-5.5,0.0054,0.0054,0.0923,5.4272
5490,5001,87.44,-1.44,0.14,-0.130,8.2,-9.2,-5.5,-0.0165,-0.0165,0.0913,5.4272
5540,5004,87.43,-1.43,0.14,0.358,0.7,-1.4,-5.5,0.0030,0.0030,0.0901,5.4272
5590,5001,85.82,0.18,0.14,0.989,0.2,-0.9,-5.5,0.0423,0.0423,0.0895,5.4272
5640,5003,84.41,1.59,-0.18,-0.137,-9.8,10.3,10.1,0.0067,0.0067,0.0908,3.4120
5690,5000,84.61,1.39,-0.18,0.407,-27.0,27.9,10.1,0.0269,0.0269,0.0917,3.4120
5740,5001,82.37,3.63,-0.18,-0.097,-17.9,16.5,10.1,0.0262,0.0262,0.0940,3.4120
5790,4998,84.39,1.61,-0.18,-0.481,-35.7,33.7,10.1,-0.0068,-0.0068,0.0960,3.4120
5840,5004,81.60,4.40,-0.35,0.558,-18.3,16.9,17.6,0.0576,0.0576,0.0983,-0.1146
5890,4998,84.40,1.60,-0.35,-1.504,-30.0,28.2,17.6,-0.0493,-0.0493,0.1009,-0.1146
5940,5005,82.92,3.08,-0.35,0.757,-15.8,15.6,17.6,0.0541,0.0541,0.1020,-0.1146
5990,4998,84.93,1.07,-0.35,-1.509,-11.7,12.4,17.6,-0.0542,-0.0542,0.1041,-0.1146
6040,5001,84.58,1.42,-0.15,0.713,-6.6,7.8,7.2,0.0395,0.0395,0.1042,-1.5573
6089,5001,86.20,-0.20,-0.15,-1.029,4.1,-0.7,7.2,-0.0442,-0.0442,0.1050,-1.5573
6140,5004,86.31,-0.31,-0.15,0.278,4.1,-3.0,7.2,0.0070,0.0070,0.1043,-1.5573
6190,5000,87.70,-1.70,-0.15,-0.948,12.8,-9.4,7.2,-0.0541,-0.0541,0.1037,-1.5573
6240,5004,88.30,-2.30,0.27,0.554,14.2,-11.9,-13.1,0.0045,0.0045,0.1013,1.0533
6290,5004,87.82,-1.82,0.27,-0.867,29.3,-25.4,-13.1,-0.0482,-0.0482,0.1003,1.0533
6340,5001,90.18,-4.18,0.27,0.288,13.5,-11.2,-13.1,-0.0227,-0.0227,0.0973,1.0533
6390,5001,87.52,-1.52,0.27,0.340,38.7,-36.2,-13.1,0.0027,0.0027,0.0953,1.0533
6440,5001,90.80,-4.80,0.33,-0.380,16.0,-14.4,-15.2,-0.0543,-0.0543,0.0925,4.0990
6490,5001,87.76,-1.76,0.33,0.958,34.6,-34.8,-15.2,0.0258,0.0258,0.0898,4.0990
6540,5004,90.33,-4.33,0.33,-0.935,19.7,-19.5,-15.2,-0.0724,-0.0724,0.0877,4.0990
6590,5001,88.42,-2.42,0.33,1.141,26.6,-26.6,-15.2,0.0274,0.0274,0.0847,4.0990
6640,5004,89.95,-3.95,0.52,-1.162,23.4,-23.8,-23.6,-0.0765,-0.0765,0.0829,8.8164
6690,5003,89.19,-3.19,0.52,1.119,20.6,-19.7,-23.6,0.0214,0.0214,0.0797,8.8164
6740,5003,88.96,-2.96,0.52,-0.779,26.3,-26.3,-23.6,-0.0525,-0.0525,0.0782,8.8164
6790,5003,89.02,-3.02,0.52,0.988,11.2,-11.9,-23.6,0.0176,0.0176,0.0754,8.8164
6840,5004,87.86,-1.86,0.46,-0.379,19.2,-20.8,-20.0,-0.0273,-0.0273,0.0744,12.8239
6890,4998,88.28,-2.28,0.46,0.629,1.6,-3.0,-20.0,0.0093,0.0093,0.0726,12.8239
6940,5000,86.63,-0.63,0.46,0.177,7.3,-8.7,-20.0,0.0057,0.0057,0.0721,12.8239
6990,5000,85.91,0.09,0.46,0.409,-1.1,1.1,-20.0,0.0212,0.0212,0.0722,12.8239
7040,5001,84.61,1.39,0.03,0.160,-1.4,1.6,1.5,0.0188,0.0188,0.0733,12.5262
7090,5001,85.09,0.91,0.03,-0.018,-10.5,11.0,1.5,0.0075,0.0075,0.0743,12.5262
7140,5007,83.47,2.53,0.03,0.517,-4.8,5.3,1.5,0.0430,0.0430,0.0759,12.5262
7190,4998,84.20,1.80,0.03,-0.390,-14.9,15.1,1.5,0.0004,0.0004,0.0780,12.5262
7240,5005,83.50,2.50,-0.37,0.785,-21.1,19.9,20.5,0.0500,0.0500,0.0795,8.4271
7290,5001,82.85,3.15,-0.37,-0.311,-23.1,21.8,20.5,0.0118,0.0118,0.0820,8.4271
7340,5005,83.55,2.45,-0.37,0.266,-39.6,38.7,20.5,0.0288,0.0288,0.0839,8.4271
